date,code,title,price,market_cap,number_of_investors,number_of_shares
2020-09-15,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.00628,9158661.72,397.0,9101500.0
2020-09-16,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.008246,9493521.46,439.0,9415881.0
2020-09-16,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.923597,135188467.81,2331.0,70278998.0
2020-09-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.924881,134756341.2,2336.0,70007622.0
2020-09-17,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.017055,10228616.08,482.0,10057092.0
2020-09-17,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.017055,10228616.08,482.0,10057092.0
2020-09-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.924881,134756341.2,2336.0,70007622.0
2020-09-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.912986,134918463.75,2323.0,70527670.0
2020-09-18,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.019098,11895133.13,519.0,11672218.0
2020-09-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.927549,132051261.12,2327.0,68507347.0
2020-09-21,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.018842,12436673.67,540.0,12206673.0
2020-09-22,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.004564,12777752.24,576.0,12719696.0
2020-09-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.928009,132829562.79,2318.0,68894664.0
2020-09-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.907115,132824440.58,2304.0,69646778.0
